Date,PriceOfLastTransaction,Max,Min,AveragePrice,PercentAvg,Quantity,TurnoverBEST,TotalTurnover
30.12.2014,"56.000,00","56.000,00","55.000,00","55.500,00","-0,89",4,222.000,222.000
29.12.2014,"56.000,00",,,"56.000,00","0,00",0,0,75.020.000
26.12.2014,"56.000,00",,,"56.000,00","0,00",0,0,0
25.12.2014,"56.000,00",,,"56.000,00","0,00",0,0,75.717.200
24.12.2014,"56.000,00",,,"56.000,00","0,00",0,0,0
23.12.2014,"56.000,00",,,"56.000,00","0,00",0,0,0
22.12.2014,"56.000,00",,,"56.000,00","0,00",0,0,0
19.12.2014,"56.000,00",,,"56.000,00","0,00",0,0,0
18.12.2014,"56.000,00",,,"56.000,00","0,00",0,0,0
17.12.2014,"56.000,00",,,"56.000,00","0,00",0,0,0
16.12.2014,"56.000,00",,,"56.000,00","0,00",0,0,0
15.12.2014,"56.000,00",,,"56.000,00","0,00",0,0,0
12.12.2014,"56.000,00",,,"56.000,00","0,00",0,0,0
11.12.2014,"56.000,00",,,"56.000,00","0,00",0,0,0
10.12.2014,"56.000,00","56.000,00","56.000,00","56.000,00","-1,75",5,280.000,280.000
09.12.2014,"57.000,00",,,"57.000,00","0,00",0,0,0
05.12.2014,"57.000,00",,,"57.000,00","0,00",0,0,0
04.12.2014,"57.000,00","57.000,00","57.000,00","57.000,00","0,00",4,228.000,228.000
02.12.2014,"57.000,00","57.000,00","57.000,00","57.000,00","3,64",2,114.000,114.000
01.12.2014,"55.000,00",,,"55.000,00","0,00",0,0,0
28.11.2014,"55.000,00",,,"55.000,00","0,00",0,0,0
27.11.2014,"55.000,00",,,"55.000,00","0,00",0,0,0
26.11.2014,"55.000,00",,,"55.000,00","0,00",0,0,0
25.11.2014,"55.000,00",,,"55.000,00","0,00",0,0,0
24.11.2014,"55.000,00",,,"55.000,00","0,00",0,0,0
21.11.2014,"55.000,00",,,"55.000,00","0,00",0,0,0
20.11.2014,"55.000,00",,,"55.000,00","0,00",0,0,0
19.11.2014,"55.000,00",,,"55.000,00","0,00",0,0,0
18.11.2014,"55.000,00",,,"55.000,00","0,00",0,0,0
17.11.2014,"55.000,00",,,"55.000,00","0,00",0,0,0
14.11.2014,"55.000,00",,,"55.000,00","0,00",0,0,0
13.11.2014,"55.000,00",,,"55.000,00","0,00",0,0,0
12.11.2014,"55.000,00",,,"55.000,00","0,00",0,0,0
11.11.2014,"55.000,00",,,"55.000,00","0,00",0,0,0
10.11.2014,"55.000,00",,,"55.000,00","0,00",0,0,0
07.11.2014,"55.000,00","55.000,00","55.000,00","55.000,00","0,00",1,55.000,55.000
06.11.2014,"55.000,00",,,"55.000,00","0,00",0,0,0
