Date,PriceOfLastTransaction,Max,Min,AveragePrice,PercentAvg,Quantity,TurnoverBEST,TotalTurnover
30.12.2014,"16,00",,,"16,00","0,00",0,0,0
29.12.2014,"16,00",,,"16,00","0,00",0,0,0
26.12.2014,"16,00",,,"16,00","0,00",0,0,0
25.12.2014,"16,00",,,"16,00","0,00",0,0,0
24.12.2014,"16,00",,,"16,00","0,00",0,0,0
23.12.2014,"16,00",,,"16,00","0,00",0,0,0
22.12.2014,"16,00",,,"16,00","0,00",0,0,0
19.12.2014,"16,00",,,"16,00","0,00",0,0,0
18.12.2014,"16,00",,,"16,00","0,00",0,0,0
17.12.2014,"16,00",,,"16,00","0,00",0,0,0
16.12.2014,"16,00","16,00","16,00","16,00","0,00",2.000,32.000,32.000
15.12.2014,"16,00",,,"16,00","0,00",0,0,0
12.12.2014,"16,00",,,"16,00","0,00",0,0,0
11.12.2014,"16,00",,,"16,00","0,00",0,0,0
10.12.2014,"16,00","16,00","16,00","16,00","0,00",7.000,112.000,112.000
09.12.2014,"16,00",,,"16,00","0,00",0,0,0
05.12.2014,"16,00",,,"16,00","0,00",0,0,0
04.12.2014,"16,00",,,"16,00","0,00",0,0,0
02.12.2014,"16,00",,,"16,00","0,00",0,0,0
01.12.2014,"16,00",,,"16,00","0,00",0,0,0
28.11.2014,"16,00",,,"16,00","0,00",0,0,0
27.11.2014,"16,00",,,"16,00","0,00",0,0,0
26.11.2014,"16,00",,,"16,00","0,00",0,0,0
25.11.2014,"16,00",,,"16,00","0,00",0,0,0
24.11.2014,"16,00",,,"16,00","0,00",0,0,0
21.11.2014,"16,00",,,"16,00","0,00",0,0,0
20.11.2014,"16,00","16,00","16,00","16,00","6,67",1.000,16.000,16.000
19.11.2014,"15,00",,,"15,00","0,00",0,0,0
18.11.2014,"15,00",,,"15,00","0,00",0,0,0
17.11.2014,"15,00",,,"15,00","0,00",0,0,0
14.11.2014,"15,00",,,"15,00","0,00",0,0,0
13.11.2014,"15,00",,,"15,00","0,00",0,0,0
12.11.2014,"15,00",,,"15,00","0,00",0,0,0
11.11.2014,"15,00",,,"15,00","0,00",0,0,0
10.11.2014,"15,00",,,"15,00","0,00",0,0,0
07.11.2014,"15,00","15,00","15,00","15,00","-6,25",330,4.950,4.950
06.11.2014,"16,00",,,"16,00","0,00",0,0,0
05.11.2014,"16,00",,,"16,00","0,00",0,0,0
04.11.2014,"16,00","16,00","16,00","16,00","0,00",2.100,33.600,33.600
03.11.2014,"16,00",,,"16,00","0,00",0,0,0
31.10.2014,"16,00","16,00","16,00","16,00","0,00",900,14.400,14.400
30.10.2014,"16,00",,,"16,00","0,00",0,0,0
29.10.2014,"16,00",,,"16,00","0,00",0,0,0
28.10.2014,"16,00",,,"16,00","0,00",0,0,0
27.10.2014,"16,00",,,"16,00","0,00",0,0,0
24.10.2014,"16,00",,,"16,00","0,00",0,0,0
22.10.2014,"16,00",,,"16,00","0,00",0,0,0
21.10.2014,"16,00",,,"16,00","0,00",0,0,0
20.10.2014,"16,00",,,"16,00","0,00",0,0,0
17.10.2014,"16,00",,,"16,00","0,00",0,0,0
16.10.2014,"16,00",,,"16,00","0,00",0,0,0
15.10.2014,"16,00",,,"16,00","0,00",0,0,0
14.10.2014,"16,00",,,"16,00","0,00",0,0,0
13.10.2014,"16,00",,,"16,00","0,00",0,0,0
10.10.2014,"16,00",,,"16,00","0,00",0,0,0
09.10.2014,"16,00",,,"16,00","0,00",0,0,0
08.10.2014,"16,00",,,"16,00","0,00",0,0,0
07.10.2014,"16,00",,,"16,00","0,00",0,0,0
06.10.2014,"16,00",,,"16,00","0,00",0,0,0
03.10.2014,"16,00",,,"16,00","0,00",0,0,0
02.10.2014,"16,00",,,"16,00","0,00",0,0,0
01.10.2014,"16,00",,,"16,00","0,00",0,0,0
30.9.2014,"16,00",,,"16,00","0,00",0,0,0
29.9.2014,"16,00",,,"16,00","0,00",0,0,0
26.9.2014,"16,00",,,"16,00","0,00",0,0,0
25.9.2014,"16,00",,,"16,00","0,00",0,0,0
24.9.2014,"16,00",,,"16,00","0,00",0,0,0
23.9.2014,"16,00",,,"16,00","0,00",0,0,0
22.9.2014,"16,00",,,"16,00","0,00",0,0,0
19.9.2014,"16,00",,,"16,00","0,00",0,0,0
18.9.2014,"16,00",,,"16,00","0,00",0,0,0
17.9.2014,"16,00",,,"16,00","0,00",0,0,0
16.9.2014,"16,00",,,"16,00","0,00",0,0,0
15.9.2014,"16,00",,,"16,00","0,00",0,0,0
12.9.2014,"16,00",,,"16,00","0,00",0,0,0
11.9.2014,"16,00","16,00","16,00","16,00","14,29",100,1.600,1.600
10.9.2014,"14,00",,,"14,00","0,00",0,0,0
09.9.2014,"14,00",,,"14,00","0,00",0,0,0
05.9.2014,"14,00",,,"14,00","0,00",0,0,0
04.9.2014,"14,00",,,"14,00","0,00",0,0,0
03.9.2014,"14,00",,,"14,00","0,00",0,0,0
02.9.2014,"14,00",,,"14,00","0,00",0,0,0
01.9.2014,"14,00",,,"14,00","0,00",0,0,0
29.8.2014,"14,00",,,"14,00","0,00",0,0,0
27.8.2014,"14,00",,,"14,00","0,00",0,0,0
26.8.2014,"14,00",,,"14,00","0,00",0,0,0
25.8.2014,"14,00",,,"14,00","0,00",0,0,0
22.8.2014,"14,00",,,"14,00","0,00",0,0,0
21.8.2014,"14,00",,,"14,00","0,00",0,0,0
20.8.2014,"14,00",,,"14,00","0,00",0,0,0
19.8.2014,"14,00","14,00","14,00","14,00","0,00",3.000,42.000,42.000
18.8.2014,"14,00",,,"14,00","0,00",0,0,0
15.8.2014,"14,00",,,"14,00","0,00",0,0,0
14.8.2014,"14,00","14,00","14,00","14,00","0,00",42.720,598.080,598.080
13.8.2014,"14,00",,,"14,00","0,00",0,0,0
12.8.2014,"14,00",,,"14,00","0,00",0,0,0
