Date,PriceOfLastTransaction,Max,Min,AveragePrice,PercentAvg,Quantity,TurnoverBEST,TotalTurnover
30.12.2014,"19.211,00",,,"19.211,00","0,00",0,0,0
29.12.2014,"19.211,00",,,"19.211,00","0,00",0,0,0
26.12.2014,"19.211,00",,,"19.211,00","0,00",0,0,0
25.12.2014,"19.211,00",,,"19.211,00","0,00",0,0,0
24.12.2014,"19.211,00",,,"19.211,00","0,00",0,0,0
23.12.2014,"19.211,00",,,"19.211,00","0,00",0,0,0
22.12.2014,"19.211,00",,,"19.211,00","0,00",0,0,0
19.12.2014,"19.211,00",,,"19.211,00","0,00",0,0,0
18.12.2014,"19.211,00",,,"19.211,00","0,00",0,0,0
17.12.2014,"19.211,00",,,"19.211,00","0,00",0,0,0
16.12.2014,"19.211,00",,,"19.211,00","0,00",0,0,0
15.12.2014,"19.211,00",,,"19.211,00","0,00",0,0,0
12.12.2014,"19.211,00",,,"19.211,00","0,00",0,0,0
11.12.2014,"19.211,00",,,"19.211,00","0,00",0,0,0
10.12.2014,"19.211,00",,,"19.211,00","0,00",0,0,0
09.12.2014,"19.211,00",,,"19.211,00","0,00",0,0,0
05.12.2014,"19.211,00","19.211,00","19.211,00","19.211,00","0,01",30,576.330,576.330
04.12.2014,"19.210,00",,,"19.210,00","0,00",0,0,0
02.12.2014,"19.210,00",,,"19.210,00","0,00",0,0,0
01.12.2014,"19.210,00","19.210,00","19.210,00","19.210,00","-2,98",23,441.830,441.830
28.11.2014,"19.800,00",,,"19.800,00","0,00",0,0,0
27.11.2014,"19.800,00","19.800,00","19.800,00","19.800,00","1,19",15,297.000,297.000
26.11.2014,"19.567,00",,,"19.567,00","0,00",0,0,0
25.11.2014,"19.567,00","19.567,00","19.567,00","19.567,00","-0,02",14,273.938,273.938
24.11.2014,"19.570,00","19.570,00","19.570,00","19.570,00","3,00",5,97.850,97.850
21.11.2014,"19.000,00","19.000,00","19.000,00","19.000,00","0,01",50,950.000,950.000
20.11.2014,"18.999,00",,,"18.999,00","0,00",0,0,0
19.11.2014,"18.999,00","18.999,00","18.999,00","18.999,00","2,15",15,284.985,284.985
18.11.2014,"18.600,00","18.600,00","18.600,00","18.600,00","0,54",11,204.600,204.600
17.11.2014,"18.500,00","18.500,00","18.500,00","18.500,00","2,78",10,185.000,185.000
14.11.2014,"18.000,00","18.000,00","18.000,00","18.000,00","-2,70",32,576.000,576.000
13.11.2014,"18.500,00","18.500,00","18.500,00","18.500,00","-6,57",1,18.500,18.500
12.11.2014,"19.800,00",,,"19.800,00","0,00",0,0,0
11.11.2014,"19.800,00",,,"19.800,00","0,00",0,0,0
10.11.2014,"19.800,00",,,"19.800,00","0,00",0,0,0
07.11.2014,"19.800,00","19.800,00","19.800,00","19.800,00","2,06",8,158.400,158.400
06.11.2014,"19.400,00","19.400,00","19.400,00","19.400,00","0,00",4,77.600,77.600
05.11.2014,"19.400,00","19.400,00","19.400,00","19.400,00","7,62",41,795.400,795.400
