Date,PriceOfLastTransaction,Max,Min,AveragePrice,PercentAvg,Quantity,TurnoverBEST,TotalTurnover
30.12.2014,"650,00","650,00","650,00","650,00","0,00",53,34.450,34.450
29.12.2014,"650,00",,,"650,00","0,00",0,0,0
26.12.2014,"650,00",,,"650,00","0,00",0,0,0
25.12.2014,"650,00","650,00","650,00","650,00","0,00",107,69.550,69.550
24.12.2014,"650,00",,,"650,00","0,00",0,0,0
23.12.2014,"650,00",,,"650,00","0,00",0,0,0
22.12.2014,"650,00",,,"650,00","0,00",0,0,0
19.12.2014,"650,00",,,"650,00","0,00",0,0,0
18.12.2014,"650,00",,,"650,00","0,00",0,0,0
17.12.2014,"650,00",,,"650,00","0,00",0,0,0
16.12.2014,"650,00",,,"650,00","0,00",0,0,0
15.12.2014,"650,00",,,"650,00","0,00",0,0,0
12.12.2014,"650,00",,,"650,00","0,00",0,0,0
11.12.2014,"650,00","650,00","650,00","650,00","3,17",216,140.400,140.400
10.12.2014,"630,00","630,00","630,00","630,00","0,00",50,31.500,31.500
09.12.2014,"630,00",,,"630,00","0,00",0,0,0
05.12.2014,"630,00","630,00","630,00","630,00","1,61",87,54.810,54.810
04.12.2014,"620,00",,,"620,00","0,00",0,0,0
02.12.2014,"620,00","620,00","620,00","620,00","0,49",50,31.000,31.000
01.12.2014,"617,00",,,"617,00","0,00",0,0,0
28.11.2014,"617,00",,,"617,00","0,00",0,0,0
27.11.2014,"617,00",,,"617,00","0,00",0,0,0
26.11.2014,"617,00",,,"617,00","0,00",0,0,0
25.11.2014,"617,00",,,"617,00","0,00",0,0,0
24.11.2014,"617,00",,,"617,00","0,00",0,0,0
21.11.2014,"617,00",,,"617,00","0,00",0,0,0
20.11.2014,"617,00",,,"617,00","0,00",0,0,0
19.11.2014,"617,00",,,"617,00","0,00",0,0,0
18.11.2014,"617,00","617,00","617,00","617,00","-3,44",50,30.850,30.850
17.11.2014,"639,00",,,"639,00","0,00",0,0,0
14.11.2014,"639,00",,,"639,00","0,00",0,0,0
13.11.2014,"639,00",,,"639,00","0,00",0,0,0
12.11.2014,"639,00",,,"639,00","0,00",0,0,0
11.11.2014,"639,00",,,"639,00","0,00",0,0,0
10.11.2014,"639,00",,,"639,00","0,00",0,0,0
07.11.2014,"639,00","639,00","639,00","639,00","2,90",452,288.828,288.828
06.11.2014,"621,00",,,"621,00","0,00",0,0,0
05.11.2014,"621,00","621,00","621,00","621,00","-0,16",35,21.735,21.735
04.11.2014,"622,00","622,00","622,00","622,00","0,32",49,30.478,30.478
03.11.2014,"620,00",,,"620,00","0,00",0,0,0
31.10.2014,"620,00",,,"620,00","0,00",0,0,0
30.10.2014,"620,00","620,00","620,00","620,00","-8,42",1.000,620.000,620.000
29.10.2014,"677,00",,,"677,00","0,00",0,0,0
28.10.2014,"677,00",,,"677,00","0,00",0,0,0
27.10.2014,"677,00",,,"677,00","0,00",0,0,0
24.10.2014,"677,00",,,"677,00","0,00",0,0,0
22.10.2014,"677,00","677,00","677,00","677,00","9,90",50,33.850,33.850
21.10.2014,"616,00",,,"616,00","0,00",0,0,0
20.10.2014,"616,00",,,"616,00","0,00",0,0,0
17.10.2014,"616,00",,,"616,00","0,00",0,0,0
16.10.2014,"616,00",,,"616,00","0,00",0,0,0
15.10.2014,"616,00",,,"616,00","0,00",0,0,0
14.10.2014,"616,00",,,"616,00","0,00",0,0,0
13.10.2014,"616,00",,,"616,00","0,00",0,0,0
10.10.2014,"616,00",,,"616,00","0,00",0,0,0
09.10.2014,"616,00","616,00","616,00","616,00","-0,81",100,61.600,61.600
08.10.2014,"621,00","621,00","621,00","621,00","0,81",26,16.146,16.146
07.10.2014,"616,00",,,"616,00","0,00",0,0,0
06.10.2014,"616,00",,,"616,00","0,00",0,0,0
03.10.2014,"616,00",,,"616,00","0,00",0,0,0
02.10.2014,"616,00",,,"616,00","0,00",0,0,0
01.10.2014,"616,00",,,"616,00","0,00",0,0,0
30.9.2014,"616,00",,,"616,00","0,00",0,0,0
29.9.2014,"616,00",,,"616,00","0,00",0,0,0
26.9.2014,"616,00",,,"616,00","0,00",0,0,0
25.9.2014,"616,00",,,"616,00","0,00",0,0,0
24.9.2014,"616,00",,,"616,00","0,00",0,0,0
23.9.2014,"616,00",,,"616,00","0,00",0,0,0
22.9.2014,"616,00",,,"616,00","0,00",0,0,0
19.9.2014,"616,00",,,"616,00","0,00",0,0,0
18.9.2014,"616,00","616,00","616,00","616,00","0,00",35,21.560,21.560
17.9.2014,"616,00",,,"616,00","0,00",0,0,0
