Date,PriceOfLastTransaction,Max,Min,AveragePrice,PercentAvg,Quantity,TurnoverBEST,TotalTurnover
30.12.2014,"22.850,00",,,"22.850,00","0,00",0,0,0
29.12.2014,"22.850,00",,,"22.850,00","0,00",0,0,0
26.12.2014,"22.850,00",,,"22.850,00","0,00",0,0,0
25.12.2014,"22.850,00",,,"22.850,00","0,00",0,0,0
24.12.2014,"22.850,00",,,"22.850,00","0,00",0,0,0
23.12.2014,"22.850,00",,,"22.850,00","0,00",0,0,0
22.12.2014,"22.850,00",,,"22.850,00","0,00",0,0,0
19.12.2014,"22.850,00",,,"22.850,00","0,00",0,0,0
18.12.2014,"22.850,00",,,"22.850,00","0,00",0,0,0
17.12.2014,"22.850,00",,,"22.850,00","0,00",0,0,0
16.12.2014,"22.850,00",,,"22.850,00","0,00",0,0,0
15.12.2014,"22.850,00",,,"22.850,00","0,00",0,0,0
12.12.2014,"22.850,00",,,"22.850,00","0,00",0,0,0
11.12.2014,"22.850,00",,,"22.850,00","0,00",0,0,0
10.12.2014,"22.850,00",,,"22.850,00","0,00",0,0,0
09.12.2014,"22.850,00",,,"22.850,00","0,00",0,0,0
05.12.2014,"22.850,00",,,"22.850,00","0,00",0,0,0
04.12.2014,"22.850,00",,,"22.850,00","0,00",0,0,0
02.12.2014,"22.850,00",,,"22.850,00","0,00",0,0,0
01.12.2014,"22.850,00",,,"22.850,00","0,00",0,0,0
28.11.2014,"22.850,00",,,"22.850,00","0,00",0,0,0
27.11.2014,"22.850,00",,,"22.850,00","0,00",0,0,0
26.11.2014,"22.850,00",,,"22.850,00","0,00",0,0,0
25.11.2014,"22.850,00",,,"22.850,00","0,00",0,0,0
24.11.2014,"22.850,00",,,"22.850,00","0,00",0,0,0
21.11.2014,"22.850,00",,,"22.850,00","0,00",0,0,0
20.11.2014,"22.850,00","22.850,00","22.850,00","22.850,00","1,56",10,228.500,228.500
19.11.2014,"22.500,00",,,"22.500,00","0,00",0,0,0
18.11.2014,"22.500,00",,,"22.500,00","0,00",0,0,0
17.11.2014,"22.500,00",,,"22.500,00","0,00",0,0,0
14.11.2014,"22.500,00",,,"22.500,00","0,00",0,0,0
13.11.2014,"22.500,00",,,"22.500,00","0,00",0,0,0
12.11.2014,"22.500,00",,,"22.500,00","0,00",0,0,0
11.11.2014,"22.500,00",,,"22.500,00","0,00",0,0,0
10.11.2014,"22.500,00",,,"22.500,00","0,00",0,0,0
07.11.2014,"22.500,00",,,"22.500,00","0,00",0,0,0
06.11.2014,"22.500,00",,,"22.500,00","0,00",0,0,0
05.11.2014,"22.500,00",,,"22.500,00","0,00",0,0,0
04.11.2014,"22.500,00",,,"22.500,00","0,00",0,0,0
03.11.2014,"22.500,00",,,"22.500,00","0,00",0,0,0
31.10.2014,"22.500,00",,,"22.500,00","0,00",0,0,0
30.10.2014,"22.500,00",,,"22.500,00","0,00",0,0,0
29.10.2014,"22.500,00",,,"22.500,00","0,00",0,0,0
28.10.2014,"22.500,00",,,"22.500,00","0,00",0,0,0
27.10.2014,"22.500,00",,,"22.500,00","0,00",0,0,0
24.10.2014,"22.500,00",,,"22.500,00","0,00",0,0,0
22.10.2014,"22.500,00",,,"22.500,00","0,00",0,0,0
21.10.2014,"22.500,00",,,"22.500,00","0,00",0,0,0
20.10.2014,"22.500,00",,,"22.500,00","0,00",0,0,0
17.10.2014,"22.500,00",,,"22.500,00","0,00",0,0,0
16.10.2014,"22.500,00",,,"22.500,00","0,00",0,0,0
15.10.2014,"22.500,00",,,"22.500,00","0,00",0,0,0
14.10.2014,"22.500,00",,,"22.500,00","0,00",0,0,0
13.10.2014,"22.500,00",,,"22.500,00","0,00",0,0,0
10.10.2014,"22.500,00","22.500,00","22.500,00","22.500,00","2,27",9,202.500,202.500
09.10.2014,"22.000,00",,,"22.000,00","0,00",0,0,0
08.10.2014,"22.000,00","22.000,00","22.000,00","22.000,00","0,00",1,22.000,22.000
07.10.2014,"22.000,00","22.000,00","22.000,00","22.000,00","0,00",40,880.000,880.000
06.10.2014,"22.000,00",,,"22.000,00","0,00",0,0,0
03.10.2014,"22.000,00",,,"22.000,00","0,00",0,0,0
02.10.2014,"22.000,00","22.000,00","22.000,00","22.000,00","0,00",5,110.000,110.000
01.10.2014,"22.000,00",,,"22.000,00","0,00",0,0,0
30.9.2014,"22.000,00","22.000,00","22.000,00","22.000,00","-4,35",55,1.210.000,1.210.000
29.9.2014,"23.000,00","23.000,00","23.000,00","23.000,00","15,00",5,115.000,115.000
26.9.2014,"20.000,00",,,"20.000,00","0,00",0,0,0
25.9.2014,"20.000,00",,,"20.000,00","0,00",0,0,0
24.9.2014,"20.000,00","20.000,00","20.000,00","20.000,00","-8,17",6,120.000,120.000
23.9.2014,"21.780,00",,,"21.780,00","0,00",0,0,0
22.9.2014,"21.780,00",,,"21.780,00","0,00",0,0,0
19.9.2014,"21.780,00",,,"21.780,00","0,00",0,0,0
18.9.2014,"21.780,00",,,"21.780,00","0,00",0,0,0
17.9.2014,"21.780,00",,,"21.780,00","0,00",0,0,0
16.9.2014,"21.780,00",,,"21.780,00","0,00",0,0,0
15.9.2014,"21.780,00","21.780,00","21.780,00","21.780,00","20,00",9,196.020,196.020
12.9.2014,"18.150,00","18.150,00","18.150,00","18.150,00","10,00",1,18.150,18.150
11.9.2014,"16.500,00","16.500,00","16.500,00","16.500,00","10,00",6,99.000,99.000
10.9.2014,"15.000,00",,,"15.000,00","0,00",0,0,0
09.9.2014,"15.000,00",,,"15.000,00","0,00",0,0,0
05.9.2014,"15.000,00",,,"15.000,00","0,00",0,0,0
04.9.2014,"15.000,00","15.000,00","15.000,00","15.000,00","-1,64",5,75.000,75.000
03.9.2014,"15.326,00",,,"15.250,77","0,00",0,0,0
02.9.2014,"15.326,00","15.326,00","15.000,00","15.250,77","-3,48",26,396.520,396.520
01.9.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
29.8.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
27.8.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
26.8.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
25.8.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
22.8.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
21.8.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
20.8.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
19.8.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
18.8.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
15.8.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
14.8.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
13.8.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
12.8.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
11.8.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
08.8.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
07.8.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
06.8.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
05.8.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
04.8.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
01.8.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
31.7.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
30.7.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
29.7.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
25.7.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
24.7.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
23.7.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
22.7.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
21.7.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
18.7.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
17.7.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
16.7.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
15.7.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
14.7.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
11.7.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
10.7.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
09.7.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
08.7.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
07.7.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
04.7.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
03.7.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
02.7.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
01.7.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
30.6.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
27.6.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
26.6.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
25.6.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
24.6.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
23.6.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
20.6.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
19.6.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
18.6.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
17.6.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
16.6.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
13.6.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
12.6.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
11.6.2014,"15.800,00",,,"15.800,00","0,00",0,0,0
10.6.2014,"15.800,00","15.800,00","15.800,00","15.800,00","-1,25",12,189.600,189.600
09.6.2014,"16.000,00",,,"16.000,00","0,00",0,0,0
05.6.2014,"16.000,00",,,"16.000,00","0,00",0,0,0
04.6.2014,"16.000,00",,,"16.000,00","0,00",0,0,0
03.6.2014,"16.000,00",,,"16.000,00","0,00",0,0,0
02.6.2014,"16.000,00",,,"16.000,00","0,00",0,0,0
30.5.2014,"16.000,00",,,"16.000,00","0,00",0,0,0
29.5.2014,"16.000,00",,,"16.000,00","0,00",0,0,0
28.5.2014,"16.000,00",,,"16.000,00","0,00",0,0,0
27.5.2014,"16.000,00",,,"16.000,00","0,00",0,0,0
26.5.2014,"16.000,00",,,"16.000,00","0,00",0,0,0
23.5.2014,"16.000,00",,,"16.000,00","0,00",0,0,0
22.5.2014,"16.000,00","16.000,00","16.000,00","16.000,00","1,27",5,80.000,80.000
21.5.2014,"15.800,00","15.800,00","15.800,00","15.800,00","-1,25",1,15.800,15.800
20.5.2014,"16.000,00",,,"16.000,00","0,00",0,0,0
19.5.2014,"16.000,00","16.000,00","16.000,00","16.000,00","0,00",7,112.000,112.000
16.5.2014,"16.000,00",,,"16.000,00","0,00",0,0,0
15.5.2014,"16.000,00",,,"16.000,00","0,00",0,0,0
14.5.2014,"16.000,00",,,"16.000,00","0,00",0,0,0
13.5.2014,"16.000,00",,,"16.000,00","0,00",0,0,0
12.5.2014,"16.000,00","16.000,00","16.000,00","16.000,00","0,00",4,64.000,64.000
09.5.2014,"16.000,00","16.000,00","16.000,00","16.000,00","0,00",1,16.000,16.000
08.5.2014,"16.000,00",,,"16.000,00","0,00",0,0,0
07.5.2014,"16.000,00",,,"16.000,00","0,00",0,0,0
06.5.2014,"16.000,00",,,"16.000,00","0,00",0,0,0
05.5.2014,"16.000,00",,,"16.000,00","0,00",0,0,0
02.5.2014,"16.000,00",,,"16.000,00","0,00",0,0,0
30.4.2014,"16.000,00",,,"16.000,00","0,00",0,0,0
29.4.2014,"16.000,00",,,"16.000,00","0,00",0,0,0
28.4.2014,"16.000,00",,,"16.000,00","0,00",0,0,0
25.4.2014,"16.000,00",,,"16.000,00","0,00",0,0,0
24.4.2014,"16.000,00",,,"16.000,00","0,00",0,0,0
23.4.2014,"16.000,00",,,"16.000,00","0,00",0,0,0
22.4.2014,"16.000,00",,,"16.000,00","0,00",0,0,0
17.4.2014,"16.000,00",,,"16.000,00","0,00",0,0,0
16.4.2014,"16.000,00","16.000,00","16.000,00","16.000,00","2,56",4,64.000,64.000
15.4.2014,"16.000,00",,,"15.600,00","0,00",0,0,0
14.4.2014,"16.000,00",,,"15.600,00","0,00",0,0,0
11.4.2014,"16.000,00",,,"15.600,00","0,00",0,0,0
10.4.2014,"16.000,00",,,"15.600,00","0,00",0,0,0
09.4.2014,"16.000,00",,,"15.600,00","0,00",0,0,0
08.4.2014,"16.000,00",,,"15.600,00","0,00",0,0,0
07.4.2014,"16.000,00",,,"15.600,00","0,00",0,0,0
04.4.2014,"16.000,00",,,"15.600,00","0,00",0,0,0
03.4.2014,"16.000,00",,,"15.600,00","0,00",0,0,0
02.4.2014,"16.000,00","16.000,00","15.000,00","15.600,00","7,22",5,78.000,78.000
01.4.2014,"14.550,00",,,"14.550,00","0,00",0,0,0
31.3.2014,"14.550,00",,,"14.550,00","0,00",0,0,0
28.3.2014,"14.550,00",,,"14.550,00","0,00",0,0,0
27.3.2014,"14.550,00",,,"14.550,00","0,00",0,0,0
26.3.2014,"14.550,00","14.550,00","14.550,00","14.550,00","-3,00",2,29.100,29.100
25.3.2014,"15.000,00",,,"15.000,00","0,00",0,0,0
24.3.2014,"15.000,00",,,"15.000,00","0,00",0,0,0
21.3.2014,"15.000,00",,,"15.000,00","0,00",0,0,0
20.3.2014,"15.000,00",,,"15.000,00","0,00",0,0,0
19.3.2014,"15.000,00",,,"15.000,00","0,00",0,0,0
18.3.2014,"15.000,00","15.000,00","15.000,00","15.000,00","0,00",3,45.000,45.000
17.3.2014,"15.000,00",,,"15.000,00","0,00",0,0,0
14.3.2014,"15.000,00","15.000,00","15.000,00","15.000,00","-0,01",16,240.000,240.000
13.3.2014,"15.001,00","15.001,00","15.001,00","15.001,00","4,89",3,45.003,45.003
12.3.2014,"14.301,00",,,"14.301,00","0,00",0,0,0
11.3.2014,"14.301,00",,,"14.301,00","0,00",0,0,0
10.3.2014,"14.301,00",,,"14.301,00","0,00",0,0,0
07.3.2014,"14.301,00",,,"14.301,00","0,00",0,0,0
06.3.2014,"14.301,00",,,"14.301,00","0,00",0,0,0
05.3.2014,"14.301,00",,,"14.301,00","0,00",0,0,0
04.3.2014,"14.301,00",,,"14.301,00","0,00",0,0,0
03.3.2014,"14.301,00",,,"14.301,00","0,00",0,0,0
28.2.2014,"14.301,00","14.301,00","14.301,00","14.301,00","1,43",32,457.632,457.632
27.2.2014,"14.100,00","14.100,00","14.100,00","14.100,00","0,00",18,253.800,253.800
26.2.2014,"14.100,00","14.100,00","14.100,00","14.100,00","2,92",6,84.600,84.600
25.2.2014,"13.700,00",,,"13.700,00","0,00",0,0,0
24.2.2014,"13.700,00",,,"13.700,00","0,00",0,0,0
21.2.2014,"13.700,00",,,"13.700,00","0,00",0,0,0
20.2.2014,"13.700,00",,,"13.700,00","0,00",0,0,0
19.2.2014,"13.700,00","13.700,00","13.700,00","13.700,00","0,00",3,41.100,41.100
18.2.2014,"13.700,00",,,"13.700,00","0,00",0,0,0
17.2.2014,"13.700,00","13.700,00","13.700,00","13.700,00","2,32",5,68.500,68.500
14.2.2014,"13.390,00",,,"13.390,00","0,00",0,0,0
