Date,PriceOfLastTransaction,Max,Min,AveragePrice,PercentAvg,Quantity,TurnoverBEST,TotalTurnover
30.12.2014,"57.001,00",,,"57.001,00","0,00",0,0,0
29.12.2014,"57.001,00","57.001,00","57.001,00","57.001,00","0,00",3,171.003,171.003
26.12.2014,"57.000,00","57.000,00","57.000,00","57.000,00","1,79",5,285.000,285.000
25.12.2014,"56.000,00",,,"56.000,00","0,00",0,0,0
24.12.2014,"56.000,00",,,"56.000,00","0,00",0,0,0
23.12.2014,"56.000,00",,,"56.000,00","0,00",0,0,0
22.12.2014,"56.000,00",,,"56.000,00","0,00",0,0,0
19.12.2014,"56.000,00",,,"56.000,00","0,00",0,0,0
18.12.2014,"56.000,00",,,"56.000,00","0,00",0,0,0
17.12.2014,"56.000,00",,,"56.000,00","0,00",0,0,0
16.12.2014,"56.000,00",,,"56.000,00","0,00",0,0,0
15.12.2014,"56.000,00",,,"56.000,00","0,00",0,0,0
12.12.2014,"56.000,00",,,"56.000,00","0,00",0,0,0
11.12.2014,"56.000,00","56.000,00","56.000,00","56.000,00","0,00",7,392.000,392.000
10.12.2014,"56.000,00",,,"56.000,00","0,00",0,0,0
09.12.2014,"56.000,00",,,"56.000,00","0,00",0,0,0
05.12.2014,"56.000,00","56.000,00","56.000,00","56.000,00","0,90",307,17.192.000,17.192.000
04.12.2014,"55.500,00","55.500,00","55.500,00","55.500,00","0,00",14,777.000,777.000
02.12.2014,"55.500,00","55.500,00","55.500,00","55.500,00","-0,89",10,555.000,555.000
01.12.2014,"56.000,00",,,"56.000,00","0,00",0,0,0
28.11.2014,"56.000,00",,,"56.000,00","0,00",0,0,0
27.11.2014,"56.000,00",,,"56.000,00","0,00",0,0,0
26.11.2014,"56.000,00",,,"56.000,00","0,00",0,0,0
25.11.2014,"56.000,00","56.000,00","56.000,00","56.000,00","0,90",102,5.712.000,5.712.000
24.11.2014,"55.500,00",,,"55.500,00","0,00",0,0,0
21.11.2014,"55.500,00",,,"55.500,00","0,00",0,0,0
20.11.2014,"55.500,00",,,"55.500,00","0,00",0,0,0
19.11.2014,"55.500,00",,,"55.500,00","0,00",0,0,0
