Date,PriceOfLastTransaction,Max,Min,AveragePrice,PercentAvg,Quantity,TurnoverBEST,TotalTurnover
30.12.2014,"26,00",,,"26,00","0,00",0,0,0
29.12.2014,"26,00",,,"26,00","0,00",0,0,0
26.12.2014,"26,00",,,"26,00","0,00",0,0,0
25.12.2014,"26,00",,,"26,00","0,00",0,0,0
24.12.2014,"26,00",,,"26,00","0,00",0,0,0
23.12.2014,"26,00",,,"26,00","0,00",0,0,0
22.12.2014,"26,00",,,"26,00","0,00",0,0,0
19.12.2014,"26,00",,,"26,00","0,00",0,0,0
18.12.2014,"26,00",,,"26,00","0,00",0,0,0
17.12.2014,"26,00",,,"26,00","0,00",0,0,0
16.12.2014,"26,00",,,"26,00","0,00",0,0,0
15.12.2014,"26,00",,,"26,00","0,00",0,0,0
12.12.2014,"26,00",,,"26,00","0,00",0,0,0
11.12.2014,"26,00",,,"26,00","0,00",0,0,0
10.12.2014,"26,00",,,"26,00","0,00",0,0,0
09.12.2014,"26,00",,,"26,00","0,00",0,0,0
05.12.2014,"26,00",,,"26,00","0,00",0,0,0
04.12.2014,"26,00",,,"26,00","0,00",0,0,0
02.12.2014,"26,00",,,"26,00","0,00",0,0,0
01.12.2014,"26,00",,,"26,00","0,00",0,0,0
28.11.2014,"26,00",,,"26,00","0,00",0,0,0
27.11.2014,"26,00",,,"26,00","0,00",0,0,0
26.11.2014,"26,00",,,"26,00","0,00",0,0,0
25.11.2014,"26,00",,,"26,00","0,00",0,0,0
24.11.2014,"26,00",,,"26,00","0,00",0,0,0
21.11.2014,"26,00",,,"26,00","0,00",0,0,0
20.11.2014,"26,00",,,"26,00","0,00",0,0,0
19.11.2014,"26,00","26,00","26,00","26,00","-7,14",300,7.800,7.800
18.11.2014,"28,00","28,00","28,00","28,00","0,00",2.000,56.000,56.000
17.11.2014,"28,00","28,00","28,00","28,00","0,00",12.000,336.000,336.000
14.11.2014,"28,00","28,00","28,00","28,00","0,00",12.500,350.000,350.000
13.11.2014,"28,00","28,00","28,00","28,00","16,67",6.096,170.688,170.688
12.11.2014,"24,00","24,00","24,00","24,00","20,00",3.000,72.000,72.000
11.11.2014,"20,00","20,00","20,00","20,00","-16,67",70,1.400,1.400
10.11.2014,"24,00",,,"24,00","0,00",0,0,0
07.11.2014,"24,00",,,"24,00","0,00",0,0,0
06.11.2014,"24,00",,,"24,00","0,00",0,0,0
05.11.2014,"24,00","24,00","24,00","24,00","4,35",500,12.000,12.000
04.11.2014,"23,00","23,00","23,00","23,00","9,52",960,22.080,22.080
03.11.2014,"21,00","21,00","21,00","21,00","5,00",790,16.590,16.590
31.10.2014,"20,00",,,"20,00","0,00",0,0,0
30.10.2014,"20,00",,,"20,00","0,00",0,0,0
29.10.2014,"20,00",,,"20,00","0,00",0,0,0
28.10.2014,"20,00",,,"20,00","0,00",0,0,0
27.10.2014,"20,00",,,"20,00","0,00",0,0,0
24.10.2014,"20,00",,,"20,00","0,00",0,0,0
22.10.2014,"20,00",,,"20,00","0,00",0,0,0
21.10.2014,"20,00",,,"20,00","0,00",0,0,0
20.10.2014,"20,00",,,"20,00","0,00",0,0,0
17.10.2014,"20,00",,,"20,00","0,00",0,0,0
16.10.2014,"20,00",,,"20,00","0,00",0,0,0
15.10.2014,"20,00",,,"20,00","0,00",0,0,0
14.10.2014,"20,00",,,"20,00","0,00",0,0,0
13.10.2014,"20,00",,,"20,00","0,00",0,0,0
10.10.2014,"20,00",,,"20,00","0,00",0,0,0
09.10.2014,"20,00",,,"20,00","0,00",0,0,0
08.10.2014,"20,00",,,"20,00","0,00",0,0,0
07.10.2014,"20,00",,,"20,00","0,00",0,0,0
06.10.2014,"20,00",,,"20,00","0,00",0,0,0
03.10.2014,"20,00","20,00","20,00","20,00","17,65",1.200,24.000,24.000
02.10.2014,"17,00",,,"17,00","0,00",0,0,0
01.10.2014,"17,00","17,00","17,00","17,00","-34,62",100,1.700,1.700
30.9.2014,"26,00",,,"26,00","0,00",0,0,0
29.9.2014,"26,00",,,"26,00","0,00",0,0,0
26.9.2014,"26,00",,,"26,00","0,00",0,0,0
25.9.2014,"26,00",,,"26,00","0,00",0,0,0
24.9.2014,"26,00",,,"26,00","0,00",0,0,0
23.9.2014,"26,00",,,"26,00","0,00",0,0,0
22.9.2014,"26,00",,,"26,00","0,00",0,0,0
19.9.2014,"26,00",,,"26,00","0,00",0,0,0
18.9.2014,"26,00",,,"26,00","0,00",0,0,0
17.9.2014,"26,00",,,"26,00","0,00",0,0,0
16.9.2014,"26,00",,,"26,00","0,00",0,0,0
15.9.2014,"26,00",,,"26,00","0,00",0,0,0
12.9.2014,"26,00",,,"26,00","0,00",0,0,0
11.9.2014,"26,00",,,"26,00","0,00",0,0,0
10.9.2014,"26,00",,,"26,00","0,00",0,0,0
